regs,iq,rob,numCycles,ROBFull,IQFull,FullRegs
64,4,4,55540187,16062957,717,NA
64,4,16,33992941,82,17073973,NA
64,4,64,33987307,NA,16998675,243
64,4,256,33987307,NA,16998675,243
64,16,4,55518741,16061929,NA,NA
64,16,16,24990929,6178687,NA,NA
64,16,64,18462614,809135,6290918,1626512
64,16,256,18462614,NA,6477721,1695546
64,64,4,55518741,16061929,NA,NA
64,64,16,24990929,6178687,NA,NA
64,64,64,16900292,1674149,NA,6654601
64,64,256,16822582,NA,NA,10598809
64,256,4,55518741,16061929,NA,NA
64,256,16,24990929,6178687,NA,NA
64,256,64,16900292,1674149,NA,6654601
64,256,256,16822582,NA,NA,10598809
256,4,4,55540187,16062957,717,NA
256,4,16,33992941,82,17073973,NA
256,4,64,33987307,2,16998968,NA
256,4,256,33987307,NA,16998978,NA
256,16,4,55518741,16061929,NA,NA
256,16,16,24990929,6178687,NA,NA
256,16,64,17963225,503505,5915209,NA
256,16,256,17584772,NA,6764217,NA
256,64,4,55518741,16061929,NA,NA
256,64,16,24990929,6178687,NA,NA
256,64,64,16130976,2086430,NA,66210
256,64,256,13290671,5,48498,3820771
256,256,4,55518741,16061929,NA,NA
256,256,16,24990929,6178687,NA,NA
256,256,64,16130976,2086430,NA,66210
256,256,256,13287197,5,NA,3817985
1024,4,4,55540187,16062957,717,NA
1024,4,16,33992941,82,17073973,NA
1024,4,64,33987307,2,16998968,NA
1024,4,256,33987307,NA,16998978,NA
1024,16,4,55518741,16061929,NA,NA
1024,16,16,24990929,6178687,NA,NA
1024,16,64,17963225,503505,5915209,NA
1024,16,256,17584772,NA,6764217,NA
1024,64,4,55518741,16061929,NA,NA
1024,64,16,24990929,6178687,NA,NA
1024,64,64,16130976,2086430,NA,66210
1024,64,256,13290671,5,48498,3820771
1024,256,4,55518741,16061929,NA,NA
1024,256,16,24990929,6178687,NA,NA
1024,256,64,16130976,2086430,NA,66210
1024,256,256,13287197,5,NA,3817985
